campaign_id,advertiser_id,objective,start_date,end_date
CMP00348,ADV0039,Conversions,2025-09-28,2025-12-31
CMP00349,ADV0039,Video Views,2024-07-01,2024-10-15
CMP00350,ADV0039,Video Views,2024-11-01,2025-01-21
CMP00351,ADV0039,Traffic,2025-01-29,2025-06-30
CMP00352,ADV0039,Conversions,2025-07-10,2025-11-16
CMP00353,ADV0039,Traffic,2025-11-19,2025-12-31
CMP00354,ADV0040,Conversions,2024-07-01,2024-08-04
CMP00355,ADV0040,Conversions,2024-08-15,2024-10-29
CMP00356,ADV0040,Traffic,2024-07-01,2024-09-05
CMP00357,ADV0040,Traffic,2024-09-13,2024-10-29
CMP00358,ADV0041,Conversions,2024-07-01,2024-08-07
CMP00359,ADV0041,App Installs,2024-08-22,2024-11-09
CMP00360,ADV0041,Conversions,2024-11-22,2025-04-29
CMP00361,ADV0041,Conversions,2025-05-09,2025-09-24
CMP00362,ADV0041,Conversions,2025-10-07,2025-12-31
CMP00363,ADV0041,Traffic,2024-07-01,2024-07-31
CMP00364,ADV0041,Reach,2024-08-10,2024-10-03
CMP00365,ADV0041,Video Views,2024-10-05,2025-03-04
CMP00366,ADV0041,Conversions,2025-03-17,2025-08-10
CMP00367,ADV0041,Traffic,2025-08-22,2025-12-31
CMP00368,ADV0041,Conversions,2024-07-01,2024-07-17
CMP00369,ADV0041,Conversions,2024-07-22,2024-11-12
CMP00370,ADV0041,Reach,2024-11-13,2025-01-14
CMP00371,ADV0041,Conversions,2025-01-25,2025-03-13
CMP00372,ADV0041,Conversions,2025-03-30,2025-06-20
CMP00373,ADV0041,Traffic,2025-06-25,2025-11-21
CMP00374,ADV0041,Video Views,2025-12-03,2025-12-31
CMP00375,ADV0041,App Installs,2024-07-01,2024-09-19
CMP00376,ADV0041,App Installs,2024-09-20,2025-02-14
CMP00377,ADV0041,App Installs,2025-02-22,2025-06-18
CMP00378,ADV0041,App Installs,2025-06-18,2025-10-21
CMP00379,ADV0041,App Installs,2025-11-04,2025-12-31
CMP00380,ADV0042,Conversions,2024-07-01,2024-08-01
CMP00381,ADV0042,Reach,2024-08-16,2024-10-30
CMP00382,ADV0042,Video Views,2024-11-07,2025-04-19
CMP00383,ADV0042,App Installs,2025-05-01,2025-06-29
CMP00384,ADV0042,Video Views,2025-07-01,2025-10-11
CMP00385,ADV0042,App Installs,2025-10-19,2025-12-31
CMP00386,ADV0042,App Installs,2024-07-06,2024-10-31
CMP00387,ADV0042,Conversions,2024-11-12,2025-01-22
CMP00388,ADV0042,Conversions,2025-02-07,2025-04-08
CMP00389,ADV0042,Reach,2025-04-15,2025-08-12
CMP00390,ADV0042,App Installs,2025-08-20,2025-12-31
CMP00391,ADV0043,App Installs,2024-07-01,2024-07-31
CMP00392,ADV0043,Conversions,2024-07-01,2024-07-31
CMP00393,ADV0044,Conversions,2024-07-02,2024-11-02
CMP00394,ADV0044,Traffic,2024-11-08,2025-03-02
CMP00395,ADV0044,Conversions,2025-03-09,2025-08-01
CMP00396,ADV0044,Traffic,2025-08-09,2025-09-11
CMP00397,ADV0044,Conversions,2024-07-11,2024-12-14
CMP00398,ADV0044,App Installs,2024-12-24,2025-02-28
CMP00399,ADV0044,App Installs,2025-03-16,2025-07-20
CMP00400,ADV0044,Conversions,2025-07-30,2025-09-11
CMP00401,ADV0045,Traffic,2024-07-01,2024-10-05
CMP00402,ADV0045,Traffic,2024-10-12,2025-01-27
CMP00403,ADV0046,Conversions,2024-07-01,2024-09-01
CMP00404,ADV0046,Conversions,2024-09-04,2024-11-08
CMP00405,ADV0046,App Installs,2024-11-08,2024-12-28
CMP00406,ADV0047,Conversions,2024-07-01,2024-10-03
CMP00407,ADV0047,Conversions,2024-10-15,2024-12-11
CMP00408,ADV0047,Video Views,2024-07-01,2024-07-25
CMP00409,ADV0047,Conversions,2024-08-05,2024-11-21
CMP00410,ADV0047,Conversions,2024-11-24,2024-12-28
CMP00411,ADV0047,App Installs,2024-07-01,2024-07-19
CMP00412,ADV0047,Conversions,2024-07-31,2024-10-06
CMP00413,ADV0047,Video Views,2024-10-13,2024-12-28
CMP00414,ADV0048,Traffic,2024-07-01,2024-08-11
CMP00415,ADV0048,Conversions,2024-08-21,2025-01-29
CMP00416,ADV0048,App Installs,2025-02-15,2025-07-14
CMP00417,ADV0048,Conversions,2025-07-25,2025-09-07
CMP00418,ADV0049,App Installs,2024-07-01,2024-08-06
CMP00419,ADV0049,Conversions,2024-08-12,2024-10-13
CMP00420,ADV0049,Conversions,2024-10-13,2024-12-15
CMP00421,ADV0049,Conversions,2024-12-15,2025-04-30
CMP00422,ADV0049,Conversions,2025-05-11,2025-09-25
CMP00423,ADV0049,Video Views,2025-10-01,2025-12-31
CMP00424,ADV0049,Video Views,2024-07-01,2024-07-14
CMP00425,ADV0049,Conversions,2024-07-18,2024-11-23
CMP00426,ADV0049,Reach,2024-11-24,2025-01-28
CMP00427,ADV0049,Video Views,2025-02-04,2025-07-10
CMP00428,ADV0049,App Installs,2025-07-19,2025-10-07
CMP00429,ADV0049,Reach,2025-10-08,2025-11-24
CMP00430,ADV0049,App Installs,2025-12-02,2025-12-31
CMP00431,ADV0050,Conversions,2024-07-01,2024-07-08
CMP00432,ADV0050,Traffic,2024-07-25,2024-10-11
CMP00433,ADV0050,Conversions,2024-07-01,2024-07-25
CMP00434,ADV0050,Video Views,2024-08-03,2024-09-18
CMP00435,ADV0050,Traffic,2024-09-25,2024-10-11
CMP00436,ADV0050,App Installs,2024-07-01,2024-07-28
CMP00437,ADV0050,Conversions,2024-08-10,2024-10-11
CMP00438,ADV0050,Video Views,2024-07-01,2024-07-08
CMP00439,ADV0050,App Installs,2024-07-20,2024-10-11
CMP00440,ADV0051,Conversions,2024-07-01,2024-08-21
CMP00441,ADV0051,Traffic,2024-08-25,2024-11-14
CMP00442,ADV0051,Conversions,2024-11-22,2025-04-29
CMP00443,ADV0051,Reach,2025-05-04,2025-06-13
CMP00444,ADV0052,Traffic,2024-07-01,2024-10-06
CMP00445,ADV0052,Conversions,2024-10-17,2024-12-28
CMP00446,ADV0053,Conversions,2024-07-01,2024-08-03
CMP00447,ADV0053,Conversions,2024-08-18,2024-12-05
CMP00448,ADV0053,Traffic,2024-12-16,2025-05-10
CMP00449,ADV0053,Reach,2025-05-11,2025-09-24
CMP00450,ADV0054,App Installs,2024-07-01,2024-07-13
CMP00451,ADV0054,Traffic,2024-07-19,2024-11-16
