advertiser_id,advertiser_name,region,vertical,account_tier,signup_date,rep_id,churn_date
ADV0132,Harbour Holdings,Australia & NZ,Automotive,SMB,2023-10-26,REP039,2024-10-29
ADV0133,Harbour Media,Southeast Asia,Food & Beverage,Mid-Market,2022-12-08,REP002,
ADV0134,Harbour Retail,Southeast Asia,Gaming,SMB,2024-12-31,REP002,2025-03-01
ADV0135,Harbour Works,Japan & Korea,Gaming,Mid-Market,2022-07-14,REP005,2024-09-29
ADV0136,Juniper Brands,Southeast Asia,E-commerce & Retail,SMB,2025-07-25,REP002,2025-09-23
ADV0137,Juniper Group,Australia & NZ,Food & Beverage,SMB,2022-12-05,REP007,2025-06-26
ADV0138,Juniper Labs,Southeast Asia,Gaming,SMB,2024-01-02,REP002,2025-05-27
ADV0139,Juniper Media,Europe,Food & Beverage,SMB,2024-09-21,REP028,2025-05-19
ADV0140,Juniper Retail,Japan & Korea,E-commerce & Retail,SMB,2025-10-02,REP033,2025-11-01
ADV0141,Juniper Studios,Japan & Korea,Gaming,Enterprise,2024-07-02,REP033,2025-03-29
ADV0142,Juniper Works,Australia & NZ,E-commerce & Retail,SMB,2025-07-31,REP006,2025-11-28
ADV0143,Kestrel Co,Southeast Asia,Gaming,SMB,2024-12-29,REP002,2025-06-27
ADV0144,Kestrel Digital,Southeast Asia,E-commerce & Retail,Enterprise,2023-04-07,REP017,
ADV0145,Kestrel Holdings,North America,Food & Beverage,Mid-Market,2025-02-08,REP014,
ADV0146,Kestrel Interactive,Australia & NZ,E-commerce & Retail,Enterprise,2022-03-13,REP039,2025-04-27
ADV0147,Kestrel Media,Southeast Asia,Gaming,SMB,2022-11-07,REP002,2024-08-30
ADV0148,Kestrel Partners,Europe,Travel & Hospitality,Mid-Market,2025-04-26,REP009,
ADV0149,Kestrel Studios,Europe,E-commerce & Retail,Mid-Market,2024-11-25,REP040,2025-01-24
ADV0150,Lantern Brands,Japan & Korea,E-commerce & Retail,Mid-Market,2024-12-20,REP005,2025-02-18
ADV0151,Lantern Commerce,Europe,Beauty & Personal Care,Mid-Market,2024-09-01,REP040,2025-03-30
ADV0152,Lantern Group,Southeast Asia,E-commerce & Retail,SMB,2025-03-08,REP032,2025-09-04
ADV0153,Lantern Interactive,Australia & NZ,E-commerce & Retail,Enterprise,2025-04-13,REP039,
ADV0154,Lantern Labs,North America,Food & Beverage,Mid-Market,2024-09-01,REP001,
ADV0155,Lantern Media,Japan & Korea,Automotive,SMB,2024-09-19,REP033,2024-10-19
ADV0156,Lantern Studios,Europe,Travel & Hospitality,Mid-Market,2023-02-12,REP028,
ADV0157,Lantern Works,North America,Finance & Fintech,SMB,2023-05-06,REP011,2025-03-28
ADV0158,Lumen Brands,Australia & NZ,Beauty & Personal Care,SMB,2025-04-28,REP039,2025-09-25
ADV0159,Lumen Co,Southeast Asia,E-commerce & Retail,Mid-Market,2022-07-11,REP002,2025-09-24
ADV0160,Lumen Commerce,Southeast Asia,Travel & Hospitality,SMB,2022-05-04,REP031,2025-08-25
ADV0161,Lumen Digital,North America,E-commerce & Retail,Mid-Market,2022-03-05,REP014,2025-08-25
ADV0162,Lumen Holdings,Europe,Travel & Hospitality,Mid-Market,2025-09-16,REP013,
ADV0163,Lumen Media,Australia & NZ,E-commerce & Retail,Mid-Market,2022-04-08,REP007,2025-06-26
ADV0164,Lumen Partners,Australia & NZ,E-commerce & Retail,SMB,2023-11-02,REP015,2024-12-28
ADV0165,Lumen Retail,Southeast Asia,Gaming,SMB,2022-10-31,REP002,2024-08-30
ADV0166,Lumen Ventures,North America,Travel & Hospitality,Enterprise,2023-08-19,REP027,
ADV0167,Lumen Works,Japan & Korea,Travel & Hospitality,SMB,2022-08-06,REP005,2024-07-31
ADV0168,Lyra Collective,North America,Finance & Fintech,SMB,2025-03-01,REP034,
ADV0169,Lyra Digital,Japan & Korea,Travel & Hospitality,Enterprise,2024-03-05,REP005,
ADV0170,Lyra Group,Southeast Asia,Gaming,SMB,2022-07-05,REP002,2024-08-30
ADV0171,Lyra Holdings,Australia & NZ,Food & Beverage,SMB,2025-01-17,REP006,2025-10-14
ADV0172,Lyra Interactive,Southeast Asia,E-commerce & Retail,Mid-Market,2024-05-26,REP002,
ADV0173,Lyra Labs,Europe,Gaming,Mid-Market,2022-06-23,REP013,
ADV0174,Lyra Media,Europe,Education,Enterprise,2023-11-19,REP025,
ADV0175,Lyra Retail,Australia & NZ,Beauty & Personal Care,SMB,2025-05-20,REP010,
ADV0176,Lyra Studios,North America,E-commerce & Retail,Mid-Market,2025-06-06,REP035,
ADV0177,Lyra Ventures,North America,Finance & Fintech,Mid-Market,2023-12-10,REP004,2025-04-27
ADV0178,Lyra Works,Australia & NZ,Education,SMB,2024-07-05,REP006,2025-03-02
ADV0179,Meridian Brands,Australia & NZ,Food & Beverage,Enterprise,2023-10-03,REP006,2025-02-26
ADV0180,Meridian Collective,Southeast Asia,Gaming,Mid-Market,2022-10-01,REP031,2025-12-23
ADV0181,Meridian Commerce,Japan & Korea,Gaming,Mid-Market,2025-05-06,REP033,
ADV0182,Meridian Digital,Japan & Korea,Gaming,SMB,2024-07-28,REP033,2024-08-27
ADV0183,Meridian Group,Southeast Asia,Gaming,SMB,2023-02-08,REP002,2025-08-25
ADV0184,Meridian Holdings,North America,Gaming,SMB,2025-06-19,REP029,2025-12-16
ADV0185,Meridian Interactive,North America,Beauty & Personal Care,SMB,2024-08-22,REP014,2025-12-15
ADV0186,Meridian Partners,Japan & Korea,E-commerce & Retail,SMB,2023-08-02,REP033,2024-07-31
ADV0187,Meridian Retail,North America,Beauty & Personal Care,SMB,2025-08-19,REP042,
ADV0188,Meridian Studios,Australia & NZ,Finance & Fintech,Mid-Market,2022-12-31,REP039,2025-10-24
ADV0189,Meridian Ventures,North America,E-commerce & Retail,Mid-Market,2025-02-03,REP012,
ADV0190,Nimbus Brands,Japan & Korea,Beauty & Personal Care,Enterprise,2023-05-27,REP005,
ADV0191,Nimbus Co,North America,Finance & Fintech,SMB,2024-04-03,REP011,
ADV0192,Nimbus Collective,Japan & Korea,Gaming,SMB,2024-01-08,REP033,2024-08-30
ADV0193,Nimbus Holdings,Australia & NZ,Travel & Hospitality,Enterprise,2022-05-16,REP015,
ADV0194,Nimbus Retail,Southeast Asia,E-commerce & Retail,SMB,2024-02-11,REP002,2025-02-26
ADV0195,Nimbus Studios,Europe,Finance & Fintech,SMB,2023-07-13,REP009,2024-08-30
ADV0196,Nimbus Ventures,Southeast Asia,Finance & Fintech,SMB,2022-01-19,REP037,2025-10-24
ADV0197,Nimbus Works,Southeast Asia,Beauty & Personal Care,SMB,2024-01-15,REP002,2024-10-29
ADV0198,Northwind Co,North America,Food & Beverage,SMB,2024-10-22,REP035,2024-11-21
ADV0199,Northwind Collective,North America,E-commerce & Retail,SMB,2024-12-23,REP011,
ADV0200,Northwind Commerce,Southeast Asia,E-commerce & Retail,SMB,2025-08-20,REP017,
ADV0201,Northwind Digital,Europe,Education,SMB,2023-11-06,REP040,2025-02-26
ADV0202,Northwind Holdings,Europe,Automotive,Mid-Market,2022-01-16,REP040,
ADV0203,Northwind Interactive,Southeast Asia,Travel & Hospitality,SMB,2022-07-06,REP002,2024-09-29
ADV0204,Northwind Labs,Australia & NZ,Beauty & Personal Care,Mid-Market,2024-12-31,REP022,
ADV0205,Northwind Partners,North America,Travel & Hospitality,Mid-Market,2022-11-04,REP035,2024-07-31
ADV0206,Northwind Retail,Japan & Korea,E-commerce & Retail,Mid-Market,2025-04-12,REP033,
ADV0207,Northwind Studios,Southeast Asia,E-commerce & Retail,Mid-Market,2024-12-31,REP017,
ADV0208,Northwind Ventures,Southeast Asia,Gaming,Mid-Market,2025-04-30,REP002,
ADV0209,Onward Brands,Australia & NZ,Food & Beverage,Mid-Market,2022-10-27,REP022,
ADV0210,Onward Commerce,Southeast Asia,Automotive,SMB,2022-04-03,REP017,2024-10-29
ADV0211,Onward Digital,Europe,Food & Beverage,SMB,2024-09-28,REP040,2025-05-26
ADV0212,Onward Group,Southeast Asia,Gaming,Enterprise,2025-09-08,REP037,
ADV0213,Onward Interactive,Southeast Asia,Travel & Hospitality,Mid-Market,2022-06-16,REP002,2025-02-26
ADV0214,Onward Labs,Europe,E-commerce & Retail,SMB,2023-08-12,REP018,2024-10-29
ADV0215,Onward Media,Japan & Korea,E-commerce & Retail,SMB,2023-03-18,REP033,2024-09-29
ADV0216,Onward Partners,North America,Education,SMB,2022-10-31,REP014,
ADV0217,Onward Ventures,Europe,Food & Beverage,SMB,2022-07-07,REP020,2025-01-27
ADV0218,Onward Works,Japan & Korea,Food & Beverage,Mid-Market,2022-03-15,REP033,2025-05-27
ADV0219,Onyx Brands,North America,Beauty & Personal Care,Enterprise,2025-03-05,REP035,
ADV0220,Onyx Co,Europe,E-commerce & Retail,SMB,2023-05-11,REP025,
ADV0221,Onyx Collective,Southeast Asia,Gaming,Mid-Market,2024-09-22,REP030,
ADV0222,Onyx Group,North America,Finance & Fintech,SMB,2025-05-05,REP035,2025-06-04
ADV0223,Onyx Interactive,North America,Travel & Hospitality,Mid-Market,2025-08-09,REP034,
ADV0224,Onyx Studios,North America,Education,SMB,2024-05-23,REP035,2024-07-31
ADV0225,Onyx Works,Japan & Korea,Travel & Hospitality,Mid-Market,2023-03-02,REP005,
ADV0226,Orchid Brands,Japan & Korea,Gaming,Mid-Market,2025-05-25,REP033,2025-11-21
ADV0227,Orchid Co,Europe,E-commerce & Retail,SMB,2024-10-05,REP025,
ADV0228,Orchid Collective,North America,Beauty & Personal Care,Mid-Market,2024-02-19,REP034,
ADV0229,Orchid Commerce,North America,E-commerce & Retail,Mid-Market,2025-04-20,REP012,
ADV0230,Orchid Digital,Southeast Asia,E-commerce & Retail,Mid-Market,2024-12-24,REP002,2025-04-23
ADV0231,Orchid Group,Europe,Travel & Hospitality,Mid-Market,2022-09-30,REP028,2024-11-28
ADV0232,Orchid Holdings,Australia & NZ,E-commerce & Retail,SMB,2024-02-11,REP022,
ADV0233,Orchid Interactive,Southeast Asia,E-commerce & Retail,SMB,2025-04-23,REP032,
ADV0234,Orchid Labs,Australia & NZ,E-commerce & Retail,SMB,2022-04-22,REP010,2024-11-28
ADV0235,Orchid Media,Japan & Korea,Travel & Hospitality,SMB,2025-05-12,REP033,2025-06-11
ADV0236,Orchid Partners,Europe,E-commerce & Retail,Mid-Market,2024-08-09,REP018,
ADV0237,Orchid Retail,Southeast Asia,Finance & Fintech,SMB,2025-01-29,REP032,
ADV0238,Orchid Studios,North America,Food & Beverage,SMB,2023-06-06,REP035,2024-07-31
ADV0239,Orchid Ventures,North America,Finance & Fintech,Mid-Market,2023-03-13,REP011,
ADV0240,Orchid Works,Europe,Education,SMB,2024-03-16,REP020,2024-07-31
ADV0241,Pinnacle Co,Japan & Korea,Gaming,SMB,2024-03-27,REP005,2025-04-27
ADV0242,Pinnacle Collective,North America,Travel & Hospitality,SMB,2024-12-09,REP035,2025-03-09
ADV0243,Pinnacle Digital,Japan & Korea,Education,SMB,2022-06-04,REP005,2024-11-28
ADV0244,Pinnacle Holdings,Southeast Asia,Travel & Hospitality,SMB,2025-06-06,REP037,2025-08-05
ADV0245,Pinnacle Interactive,Southeast Asia,Gaming,Mid-Market,2025-07-29,REP002,2025-08-28
ADV0246,Pinnacle Labs,Southeast Asia,Gaming,Mid-Market,2025-07-04,REP002,2025-11-01
ADV0247,Pinnacle Partners,Europe,Travel & Hospitality,SMB,2023-05-08,REP040,2025-12-23
ADV0248,Pinnacle Retail,Southeast Asia,Travel & Hospitality,SMB,2023-10-24,REP002,2024-08-30
ADV0249,Pinnacle Ventures,Southeast Asia,E-commerce & Retail,SMB,2023-06-12,REP002,2025-02-26
ADV0250,Quartz Brands,Australia & NZ,E-commerce & Retail,SMB,2025-05-01,REP039,2025-07-30
ADV0251,Quartz Collective,Japan & Korea,E-commerce & Retail,SMB,2024-11-28,REP005,2025-05-27
ADV0252,Quartz Commerce,North America,Beauty & Personal Care,SMB,2025-07-12,REP042,2025-11-09
ADV0253,Quartz Digital,Southeast Asia,Education,SMB,2025-05-15,REP024,2025-11-11
ADV0254,Quartz Group,Australia & NZ,E-commerce & Retail,Mid-Market,2025-04-02,REP022,
ADV0255,Quartz Holdings,Australia & NZ,E-commerce & Retail,SMB,2025-04-22,REP006,
ADV0256,Quartz Interactive,North America,Education,Mid-Market,2024-05-06,REP012,2024-07-31
ADV0257,Quartz Labs,Southeast Asia,E-commerce & Retail,Mid-Market,2025-05-08,REP002,2025-11-04
ADV0258,Quartz Media,North America,Gaming,Mid-Market,2025-07-08,REP035,
ADV0259,Quartz Partners,Australia & NZ,Finance & Fintech,SMB,2023-05-31,REP007,2024-09-29
ADV0260,Quartz Retail,Japan & Korea,Food & Beverage,Enterprise,2024-01-07,REP005,
ADV0261,Quartz Studios,Japan & Korea,Travel & Hospitality,Enterprise,2024-01-20,REP005,
ADV0262,Ridge Co,North America,Beauty & Personal Care,SMB,2024-08-06,REP014,2025-05-03
ADV0263,Ridge Collective,Australia & NZ,Travel & Hospitality,SMB,2024-02-15,REP006,
ADV0264,Ridge Commerce,North America,E-commerce & Retail,Enterprise,2025-04-10,REP012,
ADV0265,Ridge Digital,Southeast Asia,Beauty & Personal Care,SMB,2024-10-10,REP036,2024-12-09
ADV0266,Ridge Group,Southeast Asia,Education,SMB,2022-07-24,REP002,2024-08-30
ADV0267,Ridge Holdings,Europe,Finance & Fintech,Mid-Market,2023-02-09,REP028,
ADV0268,Ridge Interactive,Australia & NZ,E-commerce & Retail,Mid-Market,2024-07-06,REP039,2025-09-29
ADV0269,Ridge Partners,Australia & NZ,E-commerce & Retail,Mid-Market,2022-04-17,REP039,2025-06-26
ADV0270,Ridge Studios,Japan & Korea,Travel & Hospitality,Mid-Market,2024-05-31,REP033,
ADV0271,Ridge Ventures,Southeast Asia,Beauty & Personal Care,SMB,2023-06-27,REP036,2024-08-30
ADV0272,Ridge Works,Europe,E-commerce & Retail,Mid-Market,2023-12-12,REP028,
ADV0273,Sable Collective,Japan & Korea,Gaming,SMB,2023-06-23,REP033,2025-09-24
ADV0274,Sable Commerce,Japan & Korea,Food & Beverage,Mid-Market,2025-04-25,REP005,2025-08-23
ADV0275,Sable Group,North America,Travel & Hospitality,Mid-Market,2022-10-27,REP027,
ADV0276,Sable Holdings,Southeast Asia,Gaming,Mid-Market,2023-04-19,REP002,
ADV0277,Sable Labs,Southeast Asia,Education,SMB,2022-10-19,REP002,2024-09-29
ADV0278,Sable Media,Southeast Asia,Travel & Hospitality,Enterprise,2022-02-06,REP002,
ADV0279,Sable Partners,North America,E-commerce & Retail,SMB,2022-09-27,REP011,2024-11-28
ADV0280,Sable Studios,Southeast Asia,Travel & Hospitality,SMB,2025-04-02,REP002,2025-05-02
ADV0281,Sable Works,Southeast Asia,E-commerce & Retail,Enterprise,2022-02-09,REP002,2025-07-26
ADV0282,Solstice Brands,Europe,E-commerce & Retail,Enterprise,2025-06-10,REP040,
